Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Assessing the contribution of rare DNA states to cancer mutational signatures using sequence-specific conformational fingerprinting.,Szekely O; Lee Y; Rangadurai AK; Guseva S; Cooksey J; Faison EM; Zalenski N; Zhang Q; Suo Z; Al-Hashimi HM,"Rare and short-lived DNA conformations are proposed to be key drivers of mutagenesis, yet assessing their contribution to mutational signatures found in human cancers remains challenging. Here, we developed an approach that quantifies the sequence-dependent propensity to form a rare DNA conformation and compares the resulting fingerprint against cancer mutational signatures. Using (19)F NMR, we measured the propensity for the anionic Watson-Crick-like G•T(-) conformation across all sixteen triplet sequence contexts and discovered a striking 50-fold variation driven by suboptimal interactions between anionic thymine and its 3' neighbor. Comparing this fingerprint, and those of other rare DNA states, against the COSMIC database uncovered plausible links to mutational processes associated with exposure to damaging agents and therapies. Thus, integrating molecular biophysics with genomic epidemiology provides a powerful framework to explore how DNA's dynamic properties shape genome stability and influence human disease.",2025,Nov,Res Sq,,,,,10.21203/rs.3.rs-8012102/v1,41333427,#551,Szekely 2025,"",""
Analysis of Shared Variants between Cancer Biospecimens.,Foote MB; White JR; Chatila WK; Argilés G; Lu S; Rousseau B; Artz O; Johannet P; Walch H; Patel M; Lamendola-Essel MF; Casadevall D; Abdelfattah S; Patel S; Yaeger R; Cercek A; Montagut C; Berger M; Schultz N; Diaz LA Jr,"PURPOSE: Mutational data from multiple solid and liquid biospecimens of a single patient are often integrated to track cancer evolution. However, there is no accepted framework to resolve if individual samples from the same individual share variants due to common identity versus coincidence. EXPERIMENTAL DESIGN: Utilizing 8,000 patient tumors from The Cancer Genome Atlas across 33 cancer types, we estimated the background rates of co-occurrence of mutations between discrete pairs of samples across cancers and by cancer type. We developed a mutational profile similarity (MPS) score that uses a large background database to produce confidence estimates that two tumors share a unique, related molecular profile. The MPS algorithm was applied to randomly paired tumor profiles, including patients who underwent repeat solid tumor biopsies sequenced with Memorial Sloan Kettering-IMPACT (n = 53,113). We also evaluated the MPS in sample pairs from single patients with multiple cancers (n = 2,012), as well as patients with plasma and solid tumor variant profiles (n = 884 patients). RESULTS: In unrelated tumors, nucleotide-specific variants are shared in 1.3% (cancer-type agnostic) and in 10% to 13% (cancer-type specific) of cases. The MPS method contextualized shared variants to specify whether patients had a single cancer versus multiple distinct cancers. When multiple tumors were compared from the same patient and an initial clinicopathologic diagnosis was discordant with molecular findings, the MPS anticipated future diagnosis changes in 28% of examined cases. CONCLUSIONS: The use of a novel shared variant framework can provide information to clarify the molecular relationship between compared biospecimens with minimal required input.",2025,Jan,Clin Cancer Res,31,2,376-386,,10.1158/1078-0432.CCR-24-1583,39561276,#554,Foote 2025,"",""
Reconstruction of clone- and haplotype-specific cancer genome karyotypes from bulk tumor samples.,Aganezov S; Raphael BJ,"Many cancer genomes are extensively rearranged with aberrant chromosomal karyotypes. Deriving these karyotypes from high-throughput DNA sequencing of bulk tumor samples is complicated because most tumors are a heterogeneous mixture of normal cells and subpopulations of cancer cells, or clones, that harbor distinct somatic mutations. We introduce a new algorithm, Reconstructing Cancer Karyotypes (RCK), to reconstruct haplotype-specific karyotypes of one or more rearranged cancer genomes from DNA sequencing data from a bulk tumor sample. RCK leverages evolutionary constraints on the somatic mutational process in cancer to reduce ambiguity in the deconvolution of admixed sequencing data into multiple haplotype-specific cancer karyotypes. RCK models mixtures containing an arbitrary number of derived genomes and allows the incorporation of information both from short-read and long-read DNA sequencing technologies. We compare RCK to existing approaches on 17 primary and metastatic prostate cancer samples. We find that RCK infers cancer karyotypes that better explain the DNA sequencing data and conform to a reasonable evolutionary model. RCK's reconstructions of clone- and haplotype-specific karyotypes will aid further studies of the role of intra-tumor heterogeneity in cancer development and response to treatment. RCK is freely available as open source software.",2020,Sep,Genome Res,30,9,1274-1290,,10.1101/gr.256701.119,32887685,#573,Aganezov 2020,"",""
Timing the initiation of multiple myeloma.,Rustad EH; Yellapantula V; Leongamornlert D; Bolli N; Ledergor G; Nadeu F; Angelopoulos N; Dawson KJ; Mitchell TJ; Osborne RJ; Ziccheddu B; Carniti C; Montefusco V; Corradini P; Anderson KC; Moreau P; Papaemmanuil E; Alexandrov LB; Puente XS; Campo E; Siebert R; Avet-Loiseau H; Landgren O; Munshi N; Campbell PJ; Maura F,"The evolution and progression of multiple myeloma and its precursors over time is poorly understood. Here, we investigate the landscape and timing of mutational processes shaping multiple myeloma evolution in a large cohort of 89 whole genomes and 973 exomes. We identify eight processes, including a mutational signature caused by exposure to melphalan. Reconstructing the chronological activity of each mutational signature, we estimate that the initial transformation of a germinal center B-cell usually occurred during the first 2(nd)-3(rd) decades of life. We define four main patterns of activation-induced deaminase (AID) and apolipoprotein B mRNA editing catalytic polypeptide-like (APOBEC) mutagenesis over time, including a subset of patients with evidence of prolonged AID activity during the pre-malignant phase, indicating antigen-responsiveness and germinal center reentry. Our findings provide a framework to study the etiology of multiple myeloma and explore strategies for prevention and early detection.",2020,Apr,Nat Commun,11,1,1917,,10.1038/s41467-020-15740-9,32317634,#574,Rustad 2020,"",""
A redefined InDel taxonomy provides insights into mutational signatures.,Koh GCC; Nanda AS; Rinaldi G; Boushaki S; Degasperi A; Badja C; Pregnall AM; Zhao SJ; Chmelova L; Black D; Heskin L; Dias J; Young J; Memari Y; Shooter S; Czarnecki J; Brown MA; Davies HR; Zou X; Nik-Zainal S,"Despite their deleterious effects, small insertions and deletions (InDels) have received far less attention than substitutions. Here we generated isogenic CRISPR-edited human cellular models of postreplicative repair dysfunction (PRRd), including individual and combined gene edits of DNA mismatch repair (MMR) and replicative polymerases (Pol ε and Pol δ). Unique, diverse InDel mutational footprints were revealed. However, the prevailing InDel classification framework was unable to discriminate these InDel signatures from background mutagenesis and from each other. To address this, we developed an alternative InDel classification system that considers flanking sequences and informative motifs (for example, longer homopolymers), enabling unambiguous InDel classification into 89 subtypes. Through focused characterization of seven tumor types from the 100,000 Genomes Project, we uncovered 37 InDel signatures; 27 were new. In addition to unveiling previously hidden biological insights, we also developed PRRDetect-a highly specific classifier of PRRd status in tumors, with potential implications for immunotherapies.",2025,May,Nat Genet,57,5,1132-1141,,10.1038/s41588-025-02152-y,40210680,#577,KohGCC 2025,"",""
Predicting regional somatic mutation rates using DNA motifs.,Liu C; Wang Z; Wang J; Wang M; Ngo V; Wang W,"How the locus-specificity of epigenetic modifications is regulated remains an unanswered question. A contributing mechanism is that epigenetic enzymes are recruited to specific loci by DNA binding factors recognizing particular sequence motifs (referred to as epi-motifs). Using these motifs to predict biological outputs depending on local epigenetic state such as somatic mutation rates would confirm their functionality. Here, we used DNA motifs including known TF motifs and epi-motifs as a surrogate of epigenetic signals to predict somatic mutation rates in 13 cancers at an average 23kbp resolution. We implemented an interpretable neural network model, called contextual regression, to successfully learn the universal relationship between mutations and DNA motifs, and uncovered motifs that are most impactful on the regional mutation rates such as TP53 and epi-motifs associated with H3K9me3. Furthermore, we identified genomic regions with significantly higher mutation rates than the expected values in each individual tumor and demonstrated that such cancer-related regions can accurately predict cancer types. Interestingly, we found that the same mutation signatures often have different contributions to cancer-related and cancer-independent regions, and we also identified the motifs with the most contribution to each mutation signature.",2023,Oct,PLoS Comput Biol,19,10,e1011536,,10.1371/journal.pcbi.1011536,37782656,#581,Liu 2023,"",""
Signatures of copy number alterations in human cancer.,Steele CD; Abbasi A; Islam SMA; Bowes AL; Khandekar A; Haase K; Hames-Fathi S; Ajayi D; Verfaillie A; Dhami P; McLatchie A; Lechner M; Light N; Shlien A; Malkin D; Feber A; Proszek P; Lesluyes T; Mertens F; Flanagan AM; Tarabichi M; Van Loo P; Alexandrov LB; Pillay N,"Gains and losses of DNA are prevalent in cancer and emerge as a consequence of inter-related processes of replication stress, mitotic errors, spindle multipolarity and breakage-fusion-bridge cycles, among others, which may lead to chromosomal instability and aneuploidy(1,2). These copy number alterations contribute to cancer initiation, progression and therapeutic resistance(3-5). Here we present a conceptual framework to examine the patterns of copy number alterations in human cancer that is widely applicable to diverse data types, including whole-genome sequencing, whole-exome sequencing, reduced representation bisulfite sequencing, single-cell DNA sequencing and SNP6 microarray data. Deploying this framework to 9,873 cancers representing 33 human cancer types from The Cancer Genome Atlas(6) revealed a set of 21 copy number signatures that explain the copy number patterns of 97% of samples. Seventeen copy number signatures were attributed to biological phenomena of whole-genome doubling, aneuploidy, loss of heterozygosity, homologous recombination deficiency, chromothripsis and haploidization. The aetiologies of four copy number signatures remain unexplained. Some cancer types harbour amplicon signatures associated with extrachromosomal DNA, disease-specific survival and proto-oncogene gains such as MDM2. In contrast to base-scale mutational signatures, no copy number signature was associated with many known exogenous cancer risk factors. Our results synthesize the global landscape of copy number alterations in human cancer by revealing a diversity of mutational processes that give rise to these alterations.",2022,Jun,Nature,606,7916,984-991,,10.1038/s41586-022-04738-6,35705804,#583,Steele 2022,"",""
MUTAGENESISFORGE: A FRAMEWORK FOR MODELING CODON-LEVEL MUTATIONAL BIASES AND CALCULATING dN/dS.,Koers C; Bierman R; Xu H; Akey JM,"The ratio of nonsynonymous (d(N)) to synonymous (d(S)) substitutions in protein-coding genes is a fundamental metric in molecular evolution to test hypotheses about the relative contributions of genetic drift and natural selection in shaping patterns of protein divergence (Williams et al., 2020). However, interpretation of d(N)/d(S) ratios may be confounded by sequence context and specific substitution models (Hughes, 2007; Kryazhimskiy & Plotkin, 2008). We present MutagenesisForge, a modular command-line tool and Python package for simulating codon-level mutagenesis and calculating d(N)/d(S) under user-specified conditions. At its core is the MutationModel interface which supports specific substitution matrices and ensures consistency across both Exhaustive and Contextual modes of simulation. These modes allow for users to test evolutionary hypotheses or to generate null distributions of d(N)/d(S) across a range of biologically relevant models. As large-scale DNA sequencing data sets continue to be generated both within and between species, MutagenesisForge offers a flexible platform for evolutionary analysis and hypothesis testing of mutational processes in protein-coding genes.",2025,Aug,bioRxiv,,,,,10.1101/2025.08.28.667654,40909575,#589,Koers 2025,"",""
Emergent time scales of epistasis in protein evolution.,Di Bari L; Bisardi M; Cotogno S; Weigt M; Zamponi F,"We introduce a data-driven epistatic model of protein evolution, capable of generating evolutionary trajectories spanning very different time scales reaching from individual mutations to diverged homologs. Our in silico evolution encompasses random nucleotide mutations, insertions and deletions, and models selection using a fitness landscape, which is inferred via a generative probabilistic model for protein families. We show that the proposed framework accurately reproduces the sequence statistics of both short-time (experimental) and long-time (natural) protein evolution, suggesting applicability also to relatively data-poor intermediate evolutionary time scales, which are currently inaccessible to evolution experiments. Our model uncovers a highly collective nature of epistasis, gradually changing the fitness effect of mutations in a diverging sequence context, rather than acting via strong interactions between individual mutations. This collective nature triggers the emergence of a long evolutionary time scale, separating fast mutational processes inside a given sequence context, from the slow evolution of the context itself. The model quantitatively reproduces epistatic phenomena such as contingency and entrenchment, as well as the loss of predictability in protein evolution observed in deep mutational scanning experiments of distant homologs. It thereby deepens our understanding of the interplay between mutation and selection in shaping protein diversity and functions, allows one to statistically forecast evolution, and challenges the prevailing independent-site models of protein evolution, which are unable to capture the fundamental importance of epistasis.",2024,Oct,Proc Natl Acad Sci U S A,121,40,e2406807121,,10.1073/pnas.2406807121,39325427,#593,DiBari 2024,"",""
Copper-binding protein modelling by single-cell transcriptome and Bulk transcriptome to predict overall survival in lung adenocarcinoma patients.,Shengping M; Luyao W; Yiluo X; Huili C; Ruijie W; Ge S; Xiaojing W; Chaoqun L,"Background: Copper and copper-binding proteins are key components of tumour progression as they play an important role in tumour invasion and migration, and abnormal accumulation of copper (Cu) may be intimately linked to with lung adenocarcinoma (LUAD). Methods: Data on lung adenocarcinoma were sourced from the Cancer Genome Atlas (TCGA) database and the National Centre for Biotechnology Information (GEO). 10x scRNA sequencing, which is from Bischoff P et al, was used for down-sequencing clustering and subgroup identification using TSNE. The genes for Copper-binding proteins (CBP) were acquired from the MSigDB database. LASSO-Cox analysis was subsequently used to construct a model for copper-binding proteins (CBPRS), which was then compared to lung adenocarcinoma models developed by others. External validation was carried out in the GSE31210 and GSE50081 cohorts. The effectiveness of immunotherapy was evaluated using the TIDE algorithm and the IMvigor210, GSE78220, and TCIA cohorts. Furthermore, differences in mutational profiles and the immune microenvironment between different risk groups were investigated. The CBPRS's key regulatory genes were screened using ROC diagnostic and KM survival curves. The differential expression of these genes was then verified by RT-qPCR. Results: The six CBP genes were identified as highly predictive of LUAD prognosis and significantly correlated with it. Multivariate analysis showed that patients in the low-risk group had a higher overall survival rate than those in the high-risk group, indicating that the model was an independent predictor of LUAD. The CBPRS demonstrated superior predictive ability compared to 11 previously published models. We constructed a column-line graph that includes CBPRS and clinical characteristics, which exhibits high predictive performance. Additionally, we observed significant differences in biological functions, mutational landscapes, and immune cell infiltration in the tumour microenvironment between the high-risk and low-risk groups. It is noteworthy that immunotherapy was also significant in both the high- and low-risk groups. These results suggest that the model has good predictive efficacy. Conclusions: The CBP model demonstrated good predictive performance, revealing characteristics of the tumour microenvironment. This provides a new method for assessing the efficacy of pre-immunisation and offers a potential strategy for future treatment of lung adenocarcinoma.",2024,,J Cancer,15,9,2659-2677,,10.7150/jca.94588,38577594,#599,Shengping 2024,"",""
GenBlosum: On Determining Whether Cancer Mutations Are Functional or Random.,Leyva A; Khan Niazi MK,"BACKGROUND: Genetic mutations have proven to be the epicenters of cancer and disease progression. Traditional WXS sequencing and BLOSUM scoring can be used to infer the evolutionary conservation of amino acid substitutions, though these approaches are not informed by probable base pair sequence changes. Within gene mutation analysis, most tools focus on amino acid conservation or codon switching independently, limiting their ability to contextualize observed mutations against stochastic mutational processes. In the clinical setting, variants of unspecified significance remain difficult to interpret, as clinicians are often unable to determine whether observed mutations arise from oncogenic selection or from stochastic mutational degradation. METHODS: We analyzed mutation sequences from the TCGA BRCA cohort for TP53 and PIK3CA and developed a model that integrates BLOSUM scoring with statistical modeling of base pair changes to evaluate deviation from codon-aware neutral expectations. Observed mutational distributions were compared against a stochastic neutral model to assess statistical significance. RESULTS: Within the TCGA BRCA cohort, TP53 mutations were significantly more evolutionarily radical than expected under the codon-aware neutral model, while PIK3CA mutations were significantly more evolutionarily conservative, as determined using chi-square testing. These opposing patterns are consistent with the distinct functional roles of TP53 and PIK3CA in oncogenesis, where TP53 is inhibited through disruptive loss-of-function mutations, whereas PIK3CA is recurrently mutated in a manner that preserves protein structure and promotes constitutive pathway activation. This contrast reflects selective pressure toward disabling tumor suppressor function while maintaining persistent oncogenic signaling. CONCLUSIONS: Codon-aware neutral modeling provides a statistical framework for distinguishing mutations that deviate from stochastic expectations and may aid in the interpretation of variants of unspecified significance. By contextualizing mutational severity relative to neutral processes, this approach offers insight into tumor evolution and may support prognostic assessment without relying on predefined gene-level neutrality.",2026,Jan,Genes (Basel),17,1,,,10.3390/genes17010055,41595475,#616,Leyva 2026,"",""
Genomic landscape of gallbladder cancer: insights from whole exome sequencing.,Awasthi S; Kumar R; Pradhan D; Rawal N; Goel H; Sahu P; Sisodiya S; Rana R; Kumar S; Dash NR; Das P; Agrawal U; Rath GK; Kaur T; Dhaliwal RS; Hussain S; Saluja SS; Tanwar P,"BACKGROUND: Gallbladder cancer (GBC) is a common gastrointestinal malignancy noted for its aggressive characteristics and poor prognosis, which is mostly caused by delayed detection. However, the scarcity of information regarding somatic mutations in Indian patients with GBC has hampered the development of efficient therapeutic options. In the present study, the authors attempted to bridge this gap by revealing the mutational profile of GBC. MATERIALS AND METHODS: To evaluate the somatic mutation profile, whole exome sequencing (WES) was performed on 66 tumor and matched blood samples from individuals with GBC. Somatic variant calling was performed using GATK pipeline. Variants were annotated at pathogenic and oncogenic levels, using ANNOVAR, VEP tools and the OncoKB database. Mutational signature analysis, oncogenic pathway analysis and cancer driver genes identification were performed at the functional level by using the maftools package. RESULTS: Our findings focused on the eight most altered genes with pathogenic and oncogenic mutations: TP53, SMAD4, ERBB3, KRAS, ARID1A, PIK3CA, RB1, and AXIN1. Genes with pathogenic single nucleotide variations (SNVs) were enriched in oncogenic signaling pathways, particularly RTK-RAS, WNT, and TP53 pathways. Furthermore, our research related certain mutational signatures, such as cosmic 1, cosmic 6, and cosmic 18, 29, to known characteristics including patient age and tobacco smoking, providing important insights into disease etiology. CONCLUSIONS: Given the scarcity of exome-based sequencing studies focusing on the Indian population, this study represents a significant step forward in providing a framework for additional in-depth mutational analysis. Genes with substantial oncogenic and pathogenic mutations are promising candidates for developing targeted mutation panels, particularly for GBC detection.",2024,Nov,Int J Surg,110,11,6883-6897,,10.1097/JS9.0000000000002031,39166960,#625,Awasthi 2024,"",""
De Novo Detection of Clonal Structure and Evolution in Single-Cell and Spatial Transcriptomes.,Bai S; Su X; Chen Z; Han ZG,"Tumors are composed of cellular populations with distinct genotypes and phenotypes, which dynamically evolve over time and during treatment. This process is known as clonal evolution, and it is difficult to reveal fine-scale clonal structure with traditional bulk sequencing. Although single-cell genome sequencing could enable reconstruction of tumor clonal evolution, it remains technically challenging and the number of single cells profiled is generally insufficient due to high cost. To address this issue, we developed scClone, a computational toolkit that integrates variant detection and genotype inference for single-cell RNA-seq (scRNA-seq) and spatial transcriptomic data. It further provides interactive visualization of clonal structure and dynamic evolution. scClone addresses key limitations inherent to scRNA-seq, such as expression drop-out and allelic imbalance, and incorporates cell type or state annotation with mutational signature analysis to enable comprehensive profiling of tumor heterogeneity. scClone demonstrated robust performance across multiple datasets-generated from both full-length and fragmented RNA sequencing-by accurately reproducing mutation profiles and resolving clonal mixtures in myeloma, hepatocellular carcinoma and pancreatic cancer. Additionally, scClone has been applied to spatial transcriptomics, enabling the delineation of clonal structures within histological sections from ovarian cancer and cutaneous squamous cell carcinoma. In summary, our results demonstrate that scClone can extract genetic information from scRNA-seq datasets, thereby successfully establishing genotype-phenotype associations at the single-cell level and providing insights into the clonal evolution of tumors.",2025,Nov,Int J Mol Sci,26,23,,,10.3390/ijms262311428,41373592,#667,Bai 2025,"",""
Improved somatic mutation profiling in small-cell lung cancer using RNA-sequencing and the T2T-CHM13 genome reference.,Kashyap P; Ahirwar DK; Yadav P,"Comprehensive identification of somatic mutations (SMs) is essential for understanding the molecular landscape of small cell lung cancer (SCLC). While DNA-sequencing remains a prevalent method for SMs detection, RNA-sequencing (RNA-seq) offers a powerful complementary strategy by focusing on mutations in actively transcribed regions. Despite its potential, the utility of RNA-seq for somatic variant discovery in SCLC remains underexplored. Here, we present a robust RNA-seq analysis pipeline that integrates a two-pass HISAT2 alignment with somatic variant calling using MuTect2 from the Genome Analysis Toolkit (GATK). Variant annotation using COSMIC and dbSNP databases revealed a predominance of G > A and C > T transitions, consistent with mutational signature of tobacco exposure and oxidative stress. Our analysis identified six key oncogenes (COL4A1, FN1, AKT1, TRAF4, MYC, PTK2) implicated in SCLC signaling pathways, alongside 259 previously unreported high-impact mutations. Leveraging the complete T2T-CHM13 reference genome improved variant resolution, capturing more SNPs, MNPs, and Indels compared to GRCh38. Integration with CancerVar tool prioritized putative driver genes, including UBC, TSC1, ADGRL1, and ATN1. Notably, these driver mutations showed a negative association with the SCLC-inflamed subtype, which is characterized by increased immune infiltration and prolonged survival. Our findings highlight the untapped potential of RNA-seq for somatic mutation profiling in SCLC and unveil novel molecular targets with implications for patient stratification, immunotherapy, and precision treatment strategies.",2026,Apr,Comput Biol Chem,121,,108874,,10.1016/j.compbiolchem.2025.108874,41485300,#676,Kashyap 2026,"",""
Uniform processing of diverse sequencing data: A cross-population comparison of colon cancer genomic landscapes from The Cancer Genome Atlas and a Chinese cohort.,Chang HY; Huang CJ; Yeh YC; Wang YC,"BACKGROUND: Colon cancer is genetically heterogeneous, necessitating standardized genomic analyses for cross-cohort comparisons. While The Cancer Genome Atlas (TCGA)-colon adenocarcinoma (COAD) is a widely used dataset, its comparability to other ethnically different populations remains unclear. This study systematically compares the genomic characteristics of TCGA-COAD and ChangKang, a Chinese colon cancer cohort, using an identical data-processing pipeline to minimize methodological biases. METHODS: Whole-exome sequencing data from both cohorts were uniformly processed to analyze five key genomic features: tumor mutation burden (TMB), microsatellite instability (MSI), significantly mutated genes, mutational signatures, and copy number variation (CNV). Samples were classified into hypermutated and non-hypermutated subgroups for further comparisons. RESULTS: The TCGA-COAD cohort exhibited a higher overall TMB, driven by a greater proportion of hypermutated samples. However, the hypermutated subgroup of the ChangKang cohort included more ultramutated cases with POLE exonuclease domain mutations, leading to a higher subgroup TMB. MSI was more prevalent in TCGA-COAD, while significantly mutated gene frequencies varied, with lower APC and ACVR2A mutation rates in the ChangKang cohort. CNV patterns were largely similar, though CNV frequencies were higher in TCGA-COAD. CONCLUSIONS: Despite differences in subgroup distributions and mutation frequencies, the overall genomic characteristics of colon cancer remain consistent between these ethnically different cohorts. This suggests that cross-population analyses are feasible when standardized processing methods are applied. IMPACT: This study provides a systematic, unbiased comparison of TCGA-COAD and the Chinese ChangKang cohort, demonstrating that the genomic characteristics remain largely consistent across ethnically distinct populations.",2026,Mar,Cancer Epidemiol Biomarkers Prev,,,,,10.1158/1055-9965.EPI-24-1709,41824468,#679,Chang 2026,"",""
Gain of chromosome 1q and MYCN characterize unique subgroups of Asian Wilms tumor patients.,Wong MK; Lim KT; Thùy ĐTN; Phan TĐA; Tan SH; Devaraj I; Kuick CH; Ling S; Yong MH; Chang KTE; Tawng KD; Iyer P; Soh SY; Lee YT; Sim SW; Yeo EYM; Lee VKM; Bùi CB; Loh AHP,"Wilms tumors in Asian populations demonstrate uniquely favorable biological characteristics and are not appropriately stratified by current risk markers like loss of heterozygosity of 1p and 16q. We analyzed the prognostic associations of copy number changes at other genomic loci in a population-based cohort of Wilms tumor and explored genomic profiles of relapsed cases. Chromosomal aberrations of targeted loci were evaluated in 61 Wilms tumors treated with National Wilms Tumor Study regimens in Singapore hospitals from 2001-2022, and 26 tumors from a separate Asian validation set, and correlated with clinical variables. Mutational signatures of 6 relapsed patients' tumors were profiled using whole-exome sequencing. Clustering analysis identified a subgroup (65.6 %) of predominantly non-Asian patients with higher frequency of relapse, 1p and 16q loss and 1q gain. A smaller predominantly-Asian subgroup (34.4 %) with low stage and few relapses was characterized by gain of MYCN and minimal 1p, 1q and 16q aberrations. MYCN exon 2 gain was present in 9.8 % of the discovery set and 11.5 % of the validation set. Loss of IGF2 and 1p gene ABCA4, and gain of 1q genes, were associated with relapse. Notably, relapsed tumors demonstrated no recurrent somatic mutations; instead, in 2 patients with 1q gain clonal deconvolution showed persistence of chemo-refractory clones without metachronous pathogenic variants. Among Asian Wilms tumor patients, 1q gain is prognostic for relapse. Gain of MYCN features uniquely in Asian patients and may represent a favorable prognostic marker. These results identify distinct molecular subgroups associated with varying prognosis and relapse among Asian patients.",2026,Mar,Cancer Treat Res Commun,47,,101191,,10.1016/j.ctarc.2026.101191,41905202,#689,Wong 2026,"",""
Clinical Outcome-Related Mutational Signatures Identified by Integrative Genomic Analysis in Nasopharyngeal Carcinoma.,Dai W; Chung DL; Chow LK; Yu VZ; Lei LC; Leong MM; Chan CK; Ko JM; Lung ML,"PURPOSE: Investigation of biological mechanisms underlying genetic alterations in cancer can assist the understanding of etiology and identify the potential prognostic biomarkers. EXPERIMENTAL DESIGN: We performed an integrative genomic analysis for a total of 731 nasopharyngeal carcinoma cases from five independent nasopharyngeal carcinoma cohorts to identify the genetic events associated with clinical outcomes. RESULTS: In addition to the known mutational signatures associated with aging, APOBEC and mismatch repair (MMR), a new signature for homologous recombination deficiency (BRCAness) was discovered in 64 of 216 (29.6%) cases in the discovery set including three cohorts. This signature appeared more frequently in the recurrent and metastatic tumors and significantly correlated with shorter overall survival (OS) in the primary tumors. Independent prognostic value of MMR and BRCAness signatures was revealed by multivariable Cox analysis after adjustment for clinical parameters and stratification by studies. The cases with both signatures had much worse clinical outcome than those without these signatures [hazard ratio (HR), 12.4; P = 0.002]. This correlation was confirmed in the validation set (HR, 8.9; P = 0.003). The BRCAness signature is highly associated with BRCA2 pathogenic germline or somatic alterations (7.8% vs. 0%; P = 0.002). Targeted sequencing results from a prospective nasopharyngeal carcinoma cohort (N = 402) showed that the cases carrying BRCA2 germline rare variants are more likely to have poor OS and progression-free survival. CONCLUSIONS: Our study highlights importance of defects of DNA repair machinery in nasopharyngeal carcinoma pathogenesis and their prognostic values for clinical implications. These signatures will be useful for patient stratification to evaluate conventional and new treatment for precision medicine in nasopharyngeal carcinoma.",2020,Dec,Clin Cancer Res,26,24,6494-6504,,10.1158/1078-0432.CCR-20-2854,32988965,#702,Dai 2020,"",""
Mutational Signatures as Sensors of Environmental Exposures: Analysis of Smoking-Induced Lung Tissue Remodeling.,Kim YA; Hodzic E; Amgalan B; Saslafsky A; Wojtowicz D; Przytycka TM,"Smoking is a widely recognized risk factor in the emergence of cancers and other lung diseases. Studies of non-cancer lung diseases typically investigate the role that smoking has in chronic changes in lungs that might predispose patients to the diseases, whereas most cancer studies focus on the mutagenic properties of smoking. Large-scale cancer analysis efforts have collected expression data from both tumor and control lung tissues, and studies have used control samples to estimate the impact of smoking on gene expression. However, such analyses may be confounded by tumor-related micro-environments as well as patient-specific exposure to smoking. Thus, in this paper, we explore the utilization of mutational signatures to study environment-induced changes of gene expression in control lung tissues from lung adenocarcinoma samples. We show that a joint computational analysis of mutational signatures derived from sequenced tumor samples, and the gene expression obtained from control samples, can shed light on the combined impact that smoking and tumor-related micro-environments have on gene expression and cell-type composition in non-neoplastic (control) lung tissue. The results obtained through such analysis are both supported by experimental studies, including studies utilizing single-cell technology, and also suggest additional novel insights. We argue that the study provides a proof of principle of the utility of mutational signatures to be used as sensors of environmental exposures not only in the context of the mutational landscape of cancer, but also as a reference for changes in non-cancer lung tissues. It also provides an example of how a database collected with the purpose of understanding cancer can provide valuable information for studies not directly related to the disease.",2022,Sep,Biomolecules,12,10,,,10.3390/biom12101384,36291592,#704,Kim 2022,"",""
Whole-genome landscape of adult T-cell leukemia/lymphoma.,Kogure Y; Kameda T; Koya J; Yoshimitsu M; Nosaka K; Yasunaga JI; Imaizumi Y; Watanabe M; Saito Y; Ito Y; McClure MB; Tabata M; Shingaki S; Yoshifuji K; Chiba K; Okada A; Kakiuchi N; Nannya Y; Kamiunten A; Tahira Y; Akizuki K; Sekine M; Shide K; Hidaka T; Kubuki Y; Kitanaka A; Hidaka M; Nakano N; Utsunomiya A; Sica RA; Acuna-Villaorduna A; Janakiram M; Shah U; Ramos JC; Shibata T; Takeuchi K; Takaori-Kondo A; Miyazaki Y; Matsuoka M; Ishitsuka K; Shiraishi Y; Miyano S; Ogawa S; Ye BH; Shimoda K; Kataoka K,"Adult T-cell leukemia/lymphoma (ATL) is an aggressive neoplasm immunophenotypically resembling regulatory T cells, associated with human T-cell leukemia virus type-1. Here, we performed whole-genome sequencing (WGS) of 150 ATL cases to reveal the overarching landscape of genetic alterations in ATL. We discovered frequent (33%) loss-of-function alterations preferentially targeting the CIC long isoform, which were overlooked by previous exome-centric studies of various cancer types. Long but not short isoform-specific inactivation of Cic selectively increased CD4+CD25+Foxp3+ T cells in vivo. We also found recurrent (13%) 3'-truncations of REL, which induce transcriptional upregulation and generate gain-of-function proteins. More importantly, REL truncations are also common in diffuse large B-cell lymphoma, especially in germinal center B-cell-like subtype (12%). In the non-coding genome, we identified recurrent mutations in regulatory elements, particularly splice sites, of several driver genes. In addition, we characterized the different mutational processes operative in clustered hypermutation sites within and outside immunoglobulin/T-cell receptor genes and identified the mutational enrichment at the binding sites of host and viral transcription factors, suggesting their activities in ATL. By combining the analyses for coding and noncoding mutations, structural variations, and copy number alterations, we discovered 56 recurrently altered driver genes, including 11 novel ones. Finally, ATL cases were classified into 2 molecular groups with distinct clinical and genetic characteristics based on the driver alteration profile. Our findings not only help to improve diagnostic and therapeutic strategies in ATL, but also provide insights into T-cell biology and have implications for genome-wide cancer driver discovery.",2022,Feb,Blood,139,7,967-982,,10.1182/blood.2021013568,34695199,#719,Kogure 2022,"",""
